ホテルID,ホテル名
000000004,LUNAPARK　CUBE
000000034,ドラゴンリゾート弘前
000000049,星・星・星　北上店
000000050,星・星・星　盛岡店
000000060,星・星・星　二番星
000000070,星・星・星　二番星ANNEX
000000107,ホテル ブルーコースト横須賀
000000129,ホテル　ホヌ
000000269,HOTEL TIARA Brun
000000300,ホテルOX
000000301,ホテルUs 弁天橋
000000302,ホテルUs 競馬場
000000304,イエスタディ
000000305,ファンタジアリゾート
000000306,ホテル１．１０．１
000000307,ヴィラジュリア道玄坂
000000308,サンシルク
000000309,HOTEL?AQUA?Blue?横須賀
000000310,フェスタ横須賀
000000311,フェスタ葉山
000000312,Hotel?STAY?FOREST?土浦
000000313,HOTEL TIARA LUX
000000317,HOTEL Beni
000000401,チャーミーズ
1000,ホテル オーダー
999999994,ホテル展示会
999999998,テストグループ
999999999,テストホテル
