ホテルID,ホテル名,部屋番号,表示順,CTI連携キー,鍵開けURL,鍵開けCH番号
000000004,LUNAPARK　CUBE,101,1,353101,,01
000000004,LUNAPARK　CUBE,102,2,353102,,02
000000004,LUNAPARK　CUBE,103,3,353103,,03
000000004,LUNAPARK　CUBE,105,4,353105,,04
000000004,LUNAPARK　CUBE,106,5,353106,,05
000000004,LUNAPARK　CUBE,107,6,353107,,06
000000004,LUNAPARK　CUBE,108,7,353108,,07
000000004,LUNAPARK　CUBE,110,8,353110,,08
000000004,LUNAPARK　CUBE,111,9,353111,,09
000000004,LUNAPARK　CUBE,112,10,353112,,10
000000004,LUNAPARK　CUBE,113,11,353113,,11
000000034,ドラゴンリゾート弘前,301,1,350301,,
000000034,ドラゴンリゾート弘前,302,2,350302,,
000000034,ドラゴンリゾート弘前,303,3,350303,,
000000034,ドラゴンリゾート弘前,305,4,350305,,
000000034,ドラゴンリゾート弘前,306,5,350306,,
000000034,ドラゴンリゾート弘前,307,6,350307,,
000000034,ドラゴンリゾート弘前,401,7,350401,,
000000034,ドラゴンリゾート弘前,402,8,350402,,
000000034,ドラゴンリゾート弘前,403,9,350403,,
000000034,ドラゴンリゾート弘前,501,10,350501,,
000000034,ドラゴンリゾート弘前,502,11,350502,,
000000034,ドラゴンリゾート弘前,503,12,350503,,
000000034,ドラゴンリゾート弘前,601,13,350601,,
000000034,ドラゴンリゾート弘前,602,14,350602,,
000000034,ドラゴンリゾート弘前,603,15,350603,,
000000034,ドラゴンリゾート弘前,701,16,350701,,
000000034,ドラゴンリゾート弘前,702,17,350702,,
000000034,ドラゴンリゾート弘前,703,18,350703,,
000000034,ドラゴンリゾート弘前,801,19,350801,,
000000034,ドラゴンリゾート弘前,802,20,350802,,
000000034,ドラゴンリゾート弘前,803,21,350803,,
000000034,ドラゴンリゾート弘前,ロビー,22,350222,,
000000034,ドラゴンリゾート弘前,ウェイティング1,23,350201,,
000000034,ドラゴンリゾート弘前,ウェイティング2,24,350202,,
000000034,ドラゴンリゾート弘前,ウェイティング3,25,350203,,
000000034,ドラゴンリゾート弘前,ウェイティング4,26,350204,,
000000049,星・星・星　北上店,01,1,352101,,
000000049,星・星・星　北上店,02,2,352102,,
000000049,星・星・星　北上店,03,3,352103,,
000000049,星・星・星　北上店,04,4,352104,,
000000049,星・星・星　北上店,05,5,352105,,
000000049,星・星・星　北上店,06,6,352106,,
000000049,星・星・星　北上店,07,7,352107,,
000000049,星・星・星　北上店,08,8,352108,,
000000049,星・星・星　北上店,09,9,352109,,
000000049,星・星・星　北上店,10,10,352110,,
000000049,星・星・星　北上店,11,11,352111,,
000000049,星・星・星　北上店,12,12,352112,,
000000049,星・星・星　北上店,13,13,352113,,
000000049,星・星・星　北上店,14,14,352114,,
000000049,星・星・星　北上店,テストルーム,15,,,
000000050,星・星・星　盛岡店,101,1,351101,,
000000050,星・星・星　盛岡店,102,2,351102,,
000000050,星・星・星　盛岡店,103,3,351103,,
000000050,星・星・星　盛岡店,105,4,351105,,
000000050,星・星・星　盛岡店,106,5,351106,,
000000050,星・星・星　盛岡店,107,6,351107,,
000000050,星・星・星　盛岡店,108,7,351108,,
000000050,星・星・星　盛岡店,110,8,351110,,
000000050,星・星・星　盛岡店,111,9,351111,,
000000050,星・星・星　盛岡店,112,10,351112,,
000000050,星・星・星　盛岡店,113,11,351113,,
000000050,星・星・星　盛岡店,115,12,351115,,
000000050,星・星・星　盛岡店,116,13,351116,,
000000050,星・星・星　盛岡店,117,14,351117,,
000000050,星・星・星　盛岡店,118,15,351118,,
000000050,星・星・星　盛岡店,120,16,351120,,
000000050,星・星・星　盛岡店,121,17,351121,,
000000050,星・星・星　盛岡店,122,18,351122,,
000000050,星・星・星　盛岡店,123,19,351123,,
000000050,星・星・星　盛岡店,125,20,351125,,
000000050,星・星・星　盛岡店,126,21,351126,,
000000050,星・星・星　盛岡店,127,22,351127,,
000000060,星・星・星　二番星,201,1,351201,,
000000060,星・星・星　二番星,202,2,351202,,
000000060,星・星・星　二番星,203,3,351203,,
000000060,星・星・星　二番星,205,4,351205,,
000000060,星・星・星　二番星,206,5,351206,,
000000060,星・星・星　二番星,207,6,351207,,
000000060,星・星・星　二番星,208,7,351208,,
000000060,星・星・星　二番星,210,8,351210,,
000000060,星・星・星　二番星,211,9,351211,,
000000060,星・星・星　二番星,212,10,351212,,
000000070,星・星・星　二番星ANNEX,301,1,351301,,
000000070,星・星・星　二番星ANNEX,302,2,351302,,
000000070,星・星・星　二番星ANNEX,303,3,351303,,
000000070,星・星・星　二番星ANNEX,305,4,351305,,
000000070,星・星・星　二番星ANNEX,306,5,351306,,
000000070,星・星・星　二番星ANNEX,307,6,351307,,
000000070,星・星・星　二番星ANNEX,308,7,351308,,
000000070,星・星・星　二番星ANNEX,310,8,351310,,
000000070,星・星・星　二番星ANNEX,311,9,351311,,
000000070,星・星・星　二番星ANNEX,312,10,351312,,
000000070,星・星・星　二番星ANNEX,313,11,351313,,
000000107,ホテル ブルーコースト横須賀,101,1,354101,,
000000107,ホテル ブルーコースト横須賀,102,2,354102,,
000000107,ホテル ブルーコースト横須賀,103,3,354103,,
000000107,ホテル ブルーコースト横須賀,105,4,354105,,
000000107,ホテル ブルーコースト横須賀,106,5,354106,,
000000107,ホテル ブルーコースト横須賀,201,6,354201,,
